Local government area,Total number of confirmed cases,ValidUntil
Alpine,,"March 31, 2020"
Ararat,1,"March 31, 2020"
Ballarat,9,"March 31, 2020"
Banyule,43,"March 31, 2020"
"Bass
  Coast",2,"March 31, 2020"
Baw Baw,5,"March 31, 2020"
Bayside,22,"March 31, 2020"
Benalla,1,"March 31, 2020"
Boroondara,46,"March 31, 2020"
Brimbank,19,"March 31, 2020"
Buloke,,"March 31, 2020"
Campaspe,1,"March 31, 2020"
Cardinia,7,"March 31, 2020"
Casey,28,"March 31, 2020"
"Central
  Goldfields",,"March 31, 2020"
Colac-otway,,"March 31, 2020"
Corangamite,1,"March 31, 2020"
Darebin,24,"March 31, 2020"
"East
  Gippsland",1,"March 31, 2020"
Frankston,28,"March 31, 2020"
Gannawarra,1,"March 31, 2020"
"Glen
  Eira",38,"March 31, 2020"
Glenelg,1,"March 31, 2020"
"Golden
  Plains",,"March 31, 2020"
"Greater
  Bendigo",10,"March 31, 2020"
"Greater
  Dandenong",9,"March 31, 2020"
"Greater
  Geelong",43,"March 31, 2020"
"Greater
  Shepparton",7,"March 31, 2020"
Hepburn,2,"March 31, 2020"
Hindmarsh,,"March 31, 2020"
"Hobsons
  Bay",11,"March 31, 2020"
Horsham,2,"March 31, 2020"
Hume,26,"March 31, 2020"
Indigo,,"March 31, 2020"
Kingston,14,"March 31, 2020"
Knox,9,"March 31, 2020"
Latrobe,5,"March 31, 2020"
Loddon,,"March 31, 2020"
"Macedon
  Ranges",5,"March 31, 2020"
Manningham,14,"March 31, 2020"
Mansfield,2,"March 31, 2020"
Maribyrnong,7,"March 31, 2020"
Maroondah,6,"March 31, 2020"
Melbourne,40,"March 31, 2020"
Melton,15,"March 31, 2020"
Mildura,3,"March 31, 2020"
Mitchell,6,"March 31, 2020"
Moira,7,"March 31, 2020"
Monash,26,"March 31, 2020"
"Moonee
  Valley",26,"March 31, 2020"
Moorabool,1,"March 31, 2020"
Moreland,37,"March 31, 2020"
"Mornington
  Peninsula",46,"March 31, 2020"
"Mount
  Alexander",6,"March 31, 2020"
Moyne,1,"March 31, 2020"
Murrindindi,,"March 31, 2020"
Nillumbik,12,"March 31, 2020"
"Northern
  Grampians",3,"March 31, 2020"
"Port
  Phillip",33,"March 31, 2020"
Pyrenees,,"March 31, 2020"
Queenscliffe,,"March 31, 2020"
"South
  Gippsland",2,"March 31, 2020"
"Southern
  Grampians",,"March 31, 2020"
Stonnington,76,"March 31, 2020"
Strathbogie,2,"March 31, 2020"
"Surf
  Coast",8,"March 31, 2020"
"Swan
  Hill",2,"March 31, 2020"
Towong,1,"March 31, 2020"
Wangaratta,1,"March 31, 2020"
Warrnambool,4,"March 31, 2020"
Wellington,6,"March 31, 2020"
"West
  Wimmera",,"March 31, 2020"
Whitehorse,10,"March 31, 2020"
Whittlesea,14,"March 31, 2020"
Wodonga,1,"March 31, 2020"
Wyndham,24,"March 31, 2020"
Yarra,18,"March 31, 2020"
"Yarra
  Ranges",18,"March 31, 2020"
Yarriambiack,1,"March 31, 2020"
